11671	3
1	0.55	0
1	0.56	0
1	0.57	0
1	0.58	0
1	0.59	0
1	0.6	0
1	0.61	0
1	0.62	0
1	0.63	0
1	0.64	0
1	0.65	0
1	0.66	0
1	0.67	0
1	0.68	0
1	0.69	0
1	0.7	0
1	0.71	0
1	0.72	0
1	0.73	0
1	0.74	0
1	0.75	0
1	0.76	0
1	0.77	0
1	0.78	0
1	0.79	0
1	0.8	0
1	0.81	0
1	0.82	0
1	0.83	0
1	0.84	0
1	0.85	0
1	0.86	0
1	0.87	0
1	0.88	0
1	0.89	0
1	0.9	0
1	0.91	0
1	0.92	0
1	0.93	0
1	0.94	0
1	0.95	0
1	0.96	0
1	0.97	0
1	0.98	0
1	0.99	0
0.99	1	0
0.98	1	0
0.97	1	0
0.96	1	0
0.95	1	0
0.94	1	0
0.93	1	0
0.92	1	0
0.91	1	0
0.9	1	0
0.89	1	0
0.88	1	0
0.87	1	0
0.86	1	0
0.85	1	0
0.84	1	0
0.83	1	0
0.82	1	0
0.81	1	0
0.8	1	0
0.79	1	0
0.78	1	0
0.77	1	0
0.76	1	0
0.75	1	0
0.74	1	0
0.73	1	0
0.72	1	0
0.71	1	0
0.7	1	0
0.69	1	0
0.68	1	0
0.67	1	0
0.66	1	0
0.65	1	0
0.64	1	0
0.63	1	0
0.62	1	0
0.61	1	0
0.6	1	0
0.59	1	0
0.58	1	0
0.57	1	0
0.56	1	0
0.55	1	0
0.54	1	0
0.53	1	0
0.52	1	0
0.51	1	0
0.5	1	0
0.49	1	0
0.48	1	0
0.47	1	0
0.46	1	0
0.45	1	0
0.44	1	0
0.43	1	0
0.42	1	0
0.41	1	0
0.4	1	0
0.39	1	0
0.38	1	0
0.37	1	0
0.36	1	0
0.35	1	0
0.34	1	0
0.33	1	0
0.32	1	0
0.31	1	0
0.3	1	0
0.29	1	0
0.28	1	0
0.27	1	0
0.26	1	0
0.25	1	0
0.24	1	0
0.23	1	0
0.22	1	0
0.21	1	0
0.2	1	0
0.19	1	0
0.18	1	0
0.17	1	0
0.16	1	0
0.15	1	0
0.14	1	0
0.13	1	0
0.12	1	0
0.11	1	0
0.1	1	0
0.09	1	0
0.08	1	0
0.07	1	0
0.06	1	0
0.05	1	0
0.04	1	0
0.03	1	0
0.02	1	0
0.01	1	0
0	0.99	0
0	0.98	0
0	0.97	0
0	0.96	0
0	0.95	0
0	0.94	0
0	0.93	0
0	0.92	0
0	0.91	0
0	0.9	0
0	0.89	0
0	0.88	0
0	0.87	0
0	0.86	0
0	0.85	0
0	0.84	0
0	0.83	0
0	0.82	0
0	0.81	0
0	0.8	0
0	0.79	0
0	0.78	0
0	0.77	0
0	0.76	0
0	0.75	0
0	0.74	0
0	0.73	0
0	0.72	0
0	0.71	0
0	0.7	0
0	0.69	0
0	0.68	0
0	0.67	0
0	0.66	0
0	0.65	0
0	0.64	0
0	0.63	0
0	0.62	0
0	0.61	0
0	0.6	0
0	0.59	0
0	0.58	0
0	0.57	0
0	0.56	0
0	0.55	0
0	0.54	0
0	0.53	0
0	0.52	0
0	0.51	0
0	0.5	0
0	0.49	0
0	0.48	0
0	0.47	0
0	0.46	0
0	0.45	0
0	0.44	0
0	0.43	0
0	0.42	0
0	0.41	0
0	0.4	0
0	0.39	0
0	0.38	0
0	0.37	0
0	0.36	0
0	0.35	0
0	0.34	0
0	0.33	0
0	0.32	0
0	0.31	0
0	0.3	0
0	0.29	0
0	0.28	0
0	0.27	0
0	0.26	0
0	0.25	0
0	0.24	0
0	0.23	0
0	0.22	0
0	0.21	0
0	0.2	0
0	0.19	0
0	0.18	0
0	0.17	0
0	0.16	0
0	0.15	0
0	0.14	0
0	0.13	0
0	0.12	0
0	0.11	0
0	0.1	0
0	0.09	0
0	0.08	0
0	0.07	0
0	0.06	0
0	0.05	0
0	0.04	0
0	0.03	0
0	0.02	0
0	0.01	0
0.0138398	0.00907117	0
0.0348584	0.00952869	0
0.0551444	0.00865389	0
0.0751065	0.00858466	0
0.0950273	0.00864839	0
0.115005	0.0086607	0
0.135001	0.00865911	0
0.155001	0.00865913	0
0.175	0.00865978	0
0.195	0.00865997	0
0.215	0.00865997	0
0.235	0.00865997	0
0.255	0.00865998	0
0.275	0.00865999	0
0.295	0.00866	0
0.315	0.00866	0
0.335	0.00866	0
0.355	0.00866	0
0.375	0.00866	0
0.395	0.00866	0
0.415	0.00866	0
0.435	0.00866	0
0.455	0.00866	0
0.475	0.00866	0
0.495	0.00866	0
0.515	0.00866	0
0.535	0.00866	0
0.555	0.00866	0
0.575	0.00866	0
0.595	0.00866	0
0.615	0.00866	0
0.635	0.00866	0
0.655	0.00866	0
0.675	0.00866	0
0.695	0.00866	0
0.715	0.00866	0
0.735	0.00866	0
0.755	0.00866001	0
0.775	0.00866001	0
0.795	0.00865999	0
0.815	0.00865976	0
0.834999	0.00865855	0
0.854996	0.00865482	0
0.874992	0.00864735	0
0.894974	0.0086286	0
0.914921	0.00856733	0
0.934836	0.00844665	0
0.954804	0.00849028	0
0.97465	0.00894206	0
0.991224	0.0138096	0
0.991429	0.0348421	0
0.99127	0.0550454	0
0.991367	0.0750977	0
0.991346	0.09505	0
0.991334	0.115012	0
0.991338	0.135002	0
0.99134	0.155001	0
0.99134	0.175	0
0.99134	0.195	0
0.99134	0.215	0
0.99134	0.235	0
0.99134	0.255	0
0.99134	0.275	0
0.99134	0.295	0
0.99134	0.315	0
0.99134	0.335	0
0.99134	0.355	0
0.99134	0.375	0
0.99134	0.395	0
0.99134	0.415	0
0.99134	0.435	0
0.99134	0.455	0
0.99134	0.475	0
0.99134	0.495	0
0.99134	0.515	0
0.99134	0.535	0
0.99134	0.555	0
0.99134	0.575	0
0.99134	0.595	0
0.99134	0.615	0
0.99134	0.635	0
0.99134	0.655	0
0.99134	0.675	0
0.99134	0.695	0
0.99134	0.715	0
0.99134	0.735	0
0.99134	0.755	0
0.99134	0.775	0
0.99134	0.795	0
0.991341	0.814999	0
0.991343	0.834997	0
0.991347	0.854994	0
0.991353	0.874988	0
0.991361	0.894982	0
0.991357	0.915003	0
0.991317	0.935098	0
0.991354	0.955196	0
0.991578	0.974674	0
0.986182	0.990964	0
0.965189	0.990614	0
0.944898	0.991422	0
0.924959	0.991375	0
0.905002	0.991354	0
0.884994	0.991354	0
0.864997	0.991344	0
0.844999	0.99134	0
0.825	0.99134	0
0.805	0.99134	0
0.785	0.99134	0
0.765	0.99134	0
0.745	0.99134	0
0.725	0.99134	0
0.705	0.99134	0
0.685	0.99134	0
0.665	0.99134	0
0.645	0.99134	0
0.625	0.99134	0
0.605	0.99134	0
0.585	0.99134	0
0.565	0.99134	0
0.545	0.99134	0
0.525	0.99134	0
0.505	0.99134	0
0.485	0.99134	0
0.465	0.99134	0
0.445	0.99134	0
0.425	0.99134	0
0.405	0.99134	0
0.385	0.99134	0
0.365	0.99134	0
0.345	0.99134	0
0.325	0.99134	0
0.305	0.99134	0
0.285	0.99134	0
0.265	0.99134	0
0.245	0.99134	0
0.225	0.99134	0
0.205	0.99134	0
0.185	0.99134	0
0.165	0.99134	0
0.144999	0.991338	0
0.125	0.991337	0
0.10501	0.991343	0
0.0850511	0.991379	0
0.065135	0.991461	0
0.0451985	0.991449	0
0.0253516	0.99106	0
0.0087731	0.986203	0
0.00854353	0.965194	0
0.00873784	0.944995	0
0.00870105	0.924949	0
0.00869162	0.904976	0
0.00867729	0.884995	0
0.00866564	0.865	0
0.00866166	0.845	0
0.00866069	0.825	0
0.00866032	0.805	0
0.00866012	0.785	0
0.00866005	0.765	0
0.00866002	0.745	0
0.00866001	0.725	0
0.00866001	0.705	0
0.00866001	0.685	0
0.00866	0.665	0
0.00866	0.645	0
0.00866	0.625	0
0.00866	0.605	0
0.00866	0.585	0
0.00866	0.565	0
0.00866	0.545	0
0.00866	0.525	0
0.00866	0.505	0
0.00866	0.485	0
0.00866	0.465	0
0.00866	0.445	0
0.00866	0.425	0
0.00866	0.405	0
0.00866	0.385	0
0.00866	0.365	0
0.00866	0.345	0
0.00866	0.325	0
0.00866	0.305	0
0.00866	0.285	0
0.00866	0.265	0
0.00865999	0.245	0
0.00865998	0.225	0
0.00866001	0.205	0
0.0086602	0.185	0
0.00866084	0.165	0
0.00866173	0.145	0
0.00865933	0.125007	0
0.00864179	0.105031	0
0.00860311	0.0850623	0
0.00860614	0.065006	0
0.00861849	0.0448964	0
0.00844641	0.0253883	0
0.0244588	0.00985205	0
0.0450556	0.00899424	0
0.065154	0.00855744	0
0.0850596	0.00862255	0
0.105014	0.00865846	0
0.125002	0.00866007	0
0.145001	0.00865883	0
0.165	0.00865944	0
0.185	0.00865991	0
0.205	0.00865998	0
0.225	0.00865997	0
0.245	0.00865998	0
0.265	0.00865999	0
0.285	0.00866	0
0.305	0.00866	0
0.325	0.00866	0
0.345	0.00866	0
0.365	0.00866	0
0.385	0.00866	0
0.405	0.00866	0
0.425	0.00866	0
0.445	0.00866	0
0.465	0.00866	0
0.485	0.00866	0
0.505	0.00866	0
0.525	0.00866	0
0.545	0.00866	0
0.565	0.00866	0
0.585	0.00866	0
0.605	0.00866	0
0.625	0.00866	0
0.645	0.00866	0
0.665	0.00866	0
0.685	0.00866	0
0.705	0.00866	0
0.725	0.00866	0
0.745	0.00866001	0
0.765	0.00866001	0
0.785	0.00866001	0
0.805	0.00865994	0
0.824999	0.00865948	0
0.844998	0.00865733	0
0.864995	0.0086524	0
0.884988	0.00864203	0
0.904958	0.00860928	0
0.924884	0.00851299	0
0.944816	0.00842826	0
0.964803	0.00868189	0
0.983562	0.00842253	0
0.991054	0.0243844	0
0.991378	0.0450271	0
0.991331	0.0650823	0
0.991362	0.085083	0
0.991335	0.105024	0
0.991336	0.125003	0
0.991339	0.145001	0
0.99134	0.165	0
0.99134	0.185	0
0.99134	0.205	0
0.99134	0.225	0
0.99134	0.245	0
0.99134	0.265	0
0.99134	0.285	0
0.99134	0.305	0
0.99134	0.325	0
0.99134	0.345	0
0.99134	0.365	0
0.99134	0.385	0
0.99134	0.405	0
0.99134	0.425	0
0.99134	0.445	0
0.99134	0.465	0
0.99134	0.485	0
0.99134	0.505	0
0.99134	0.525	0
0.99134	0.545	0
0.99134	0.565	0
0.99134	0.585	0
0.99134	0.605	0
0.99134	0.625	0
0.99134	0.645	0
0.99134	0.665	0
0.99134	0.685	0
0.99134	0.705	0
0.99134	0.725	0
0.99134	0.745	0
0.99134	0.765	0
0.99134	0.785	0
0.991341	0.804999	0
0.991342	0.824999	0
0.991345	0.844997	0
0.991349	0.864992	0
0.991357	0.884985	0
0.991362	0.904987	0
0.991341	0.925037	0
0.991299	0.945172	0
0.991691	0.964987	0
0.991656	0.983405	0
0.975574	0.990243	0
0.954989	0.991146	0
0.934906	0.991437	0
0.914997	0.991349	0
0.894998	0.991357	0
0.874995	0.991348	0
0.854999	0.991341	0
0.835	0.99134	0
0.815	0.99134	0
0.795	0.99134	0
0.775	0.99134	0
0.755	0.99134	0
0.735	0.99134	0
0.715	0.99134	0
0.695	0.99134	0
0.675	0.99134	0
0.655	0.99134	0
0.635	0.99134	0
0.615	0.99134	0
0.595	0.99134	0
0.575	0.99134	0
0.555	0.99134	0
0.535	0.99134	0
0.515	0.99134	0
0.495	0.99134	0
0.475	0.99134	0
0.455	0.99134	0
0.435	0.99134	0
0.415	0.99134	0
0.395	0.99134	0
0.375	0.99134	0
0.355	0.99134	0
0.335	0.99134	0
0.315	0.99134	0
0.295	0.99134	0
0.275	0.99134	0
0.255	0.99134	0
0.235	0.99134	0
0.215	0.99134	0
0.195	0.99134	0
0.175	0.99134	0
0.154999	0.991339	0
0.134999	0.991338	0
0.115002	0.991338	0
0.0950236	0.991355	0
0.0750859	0.991416	0
0.055172	0.991485	0
0.035206	0.991296	0
0.0164361	0.991587	0
0.00892756	0.975641	0
0.00860147	0.955011	0
0.0087165	0.934957	0
0.00869475	0.914963	0
0.00868612	0.894987	0
0.00867049	0.874999	0
0.00866268	0.855	0
0.00866092	0.835	0
0.00866044	0.815	0
0.00866018	0.795	0
0.00866007	0.775	0
0.00866003	0.755	0
0.00866001	0.735	0
0.00866001	0.715	0
0.00866001	0.695	0
0.00866001	0.675	0
0.00866	0.655	0
0.00866	0.635	0
0.00866	0.615	0
0.00866	0.595	0
0.00866	0.575	0
0.00866	0.555	0
0.00866	0.535	0
0.00866	0.515	0
0.00866	0.495	0
0.00866	0.475	0
0.00866	0.455	0
0.00866	0.435	0
0.00866	0.415	0
0.00866	0.395	0
0.00866	0.375	0
0.00866	0.355	0
0.00866	0.335	0
0.00866	0.315	0
0.00866	0.295	0
0.00866	0.275	0
0.00865999	0.255	0
0.00865998	0.235	0
0.00865998	0.215	0
0.00866006	0.195	0
0.00866043	0.175	0
0.00866127	0.155	0
0.00866135	0.135002	0
0.00865344	0.115015	0
0.00862417	0.0950488	0
0.00859367	0.0750535	0
0.00864233	0.0549324	0
0.00831088	0.035091	0
0.00836929	0.0166356	0
0.0168738	0.959986	0
0.0604159	0.0170741	0
0.959757	0.98191	0
0.0801515	0.0172259	0
0.983064	0.0401038	0
0.10003	0.0173184	0
0.0403578	0.0184169	0
0.120004	0.017322	0
0.140002	0.0173174	0
0.160001	0.0173185	0
0.18	0.0173198	0
0.2	0.01732	0
0.22	0.0173199	0
0.24	0.0173199	0
0.26	0.01732	0
0.28	0.01732	0
0.3	0.01732	0
0.32	0.01732	0
0.34	0.01732	0
0.36	0.01732	0
0.38	0.01732	0
0.4	0.01732	0
0.42	0.01732	0
0.44	0.01732	0
0.46	0.01732	0
0.48	0.01732	0
0.5	0.01732	0
0.52	0.01732	0
0.54	0.01732	0
0.56	0.01732	0
0.58	0.01732	0
0.6	0.01732	0
0.62	0.01732	0
0.64	0.01732	0
0.66	0.01732	0
0.68	0.01732	0
0.7	0.01732	0
0.72	0.01732	0
0.74	0.01732	0
0.76	0.01732	0
0.78	0.01732	0
0.8	0.01732	0
0.819999	0.0173194	0
0.839997	0.0173163	0
0.859992	0.0173072	0
0.879982	0.0172903	0
0.899944	0.0172473	0
0.919822	0.0170999	0
0.939623	0.0168312	0
0.959533	0.0170617	0
0.980967	0.0185706	0
0.982936	0.0297136	0
0.0702682	0.0171361	0
0.981569	0.980001	0
0.982619	0.0602018	0
0.982737	0.0802059	0
0.982667	0.100067	0
0.982666	0.120012	0
0.982678	0.140003	0
0.98268	0.160001	0
0.98268	0.18	0
0.98268	0.2	0
0.98268	0.22	0
0.98268	0.24	0
0.98268	0.26	0
0.98268	0.28	0
0.98268	0.3	0
0.98268	0.32	0
0.98268	0.34	0
0.98268	0.36	0
0.98268	0.38	0
0.98268	0.4	0
0.98268	0.42	0
0.98268	0.44	0
0.98268	0.46	0
0.98268	0.48	0
0.98268	0.5	0
0.98268	0.52	0
0.98268	0.54	0
0.98268	0.56	0
0.98268	0.58	0
0.98268	0.6	0
0.98268	0.62	0
0.98268	0.64	0
0.98268	0.66	0
0.98268	0.68	0
0.98268	0.7	0
0.98268	0.72	0
0.98268	0.74	0
0.98268	0.76	0
0.98268	0.78	0
0.982681	0.799999	0
0.982683	0.819998	0
0.982688	0.839995	0
0.982696	0.859987	0
0.982709	0.879972	0
0.982726	0.899959	0
0.982714	0.920006	0
0.982628	0.940257	0
0.982736	0.960737	0
0.970204	0.980491	0
0.050474	0.017417	0
0.0170182	0.970352	0
0.939716	0.982974	0
0.920003	0.982682	0
0.899998	0.98272	0
0.879987	0.982703	0
0.859997	0.982683	0
0.84	0.98268	0
0.82	0.98268	0
0.8	0.98268	0
0.78	0.98268	0
0.76	0.98268	0
0.74	0.98268	0
0.72	0.98268	0
0.7	0.98268	0
0.68	0.98268	0
0.66	0.98268	0
0.64	0.98268	0
0.62	0.98268	0
0.6	0.98268	0
0.58	0.98268	0
0.56	0.98268	0
0.54	0.98268	0
0.52	0.98268	0
0.5	0.98268	0
0.48	0.98268	0
0.46	0.98268	0
0.44	0.98268	0
0.42	0.98268	0
0.4	0.98268	0
0.38	0.98268	0
0.36	0.98268	0
0.34	0.98268	0
0.32	0.98268	0
0.3	0.98268	0
0.28	0.98268	0
0.26	0.98268	0
0.24	0.98268	0
0.22	0.98268	0
0.2	0.98268	0
0.18	0.98268	0
0.159999	0.982679	0
0.139998	0.982676	0
0.119998	0.982672	0
0.100021	0.982687	0
0.0801114	0.982775	0
0.0603116	0.982959	0
0.0404669	0.982852	0
0.0190205	0.981459	0
0.0298798	0.0197636	0
0.0184786	0.0201191	0
0.0174409	0.939899	0
0.0174015	0.91989	0
0.0173841	0.899962	0
0.0173484	0.879994	0
0.0173271	0.86	0
0.0173223	0.84	0
0.0173211	0.82	0
0.0173205	0.8	0
0.0173202	0.78	0
0.0173201	0.76	0
0.01732	0.74	0
0.01732	0.72	0
0.01732	0.7	0
0.01732	0.68	0
0.01732	0.66	0
0.01732	0.64	0
0.01732	0.62	0
0.01732	0.6	0
0.01732	0.58	0
0.01732	0.56	0
0.01732	0.54	0
0.01732	0.52	0
0.01732	0.5	0
0.01732	0.48	0
0.01732	0.46	0
0.01732	0.44	0
0.01732	0.42	0
0.01732	0.4	0
0.01732	0.38	0
0.01732	0.36	0
0.01732	0.34	0
0.01732	0.32	0
0.01732	0.3	0
0.01732	0.28	0
0.01732	0.26	0
0.01732	0.24	0
0.01732	0.22	0
0.01732	0.2	0
0.0173205	0.18	0
0.017322	0.159999	0
0.0173242	0.14	0
0.0173185	0.120014	0
0.0172764	0.100073	0
0.0171842	0.0801477	0
0.0172137	0.059977	0
0.0172466	0.039451	0
0.110013	0.0173244	0
0.0900662	0.0172902	0
0.130003	0.0173187	0
0.150001	0.0173178	0
0.17	0.0173194	0
0.19	0.0173199	0
0.21	0.0173199	0
0.23	0.0173199	0
0.25	0.01732	0
0.27	0.01732	0
0.29	0.01732	0
0.31	0.01732	0
0.33	0.01732	0
0.35	0.01732	0
0.37	0.01732	0
0.39	0.01732	0
0.41	0.01732	0
0.43	0.01732	0
0.45	0.01732	0
0.47	0.01732	0
0.49	0.01732	0
0.51	0.01732	0
0.53	0.01732	0
0.55	0.01732	0
0.57	0.01732	0
0.59	0.01732	0
0.61	0.01732	0
0.63	0.01732	0
0.65	0.01732	0
0.67	0.01732	0
0.69	0.01732	0
0.71	0.01732	0
0.73	0.01732	0
0.75	0.01732	0
0.77	0.01732	0
0.79	0.01732	0
0.81	0.0173198	0
0.829999	0.0173186	0
0.849995	0.017313	0
0.869989	0.0173014	0
0.889973	0.0172783	0
0.909905	0.0171997	0
0.929731	0.0169661	0
0.949567	0.016839	0
0.969697	0.0175686	0
0.982419	0.0500255	0
0.982737	0.0702653	0
0.982696	0.0901392	0
0.982661	0.110035	0
0.982673	0.130004	0
0.98268	0.150001	0
0.98268	0.170001	0
0.98268	0.19	0
0.98268	0.21	0
0.98268	0.23	0
0.98268	0.25	0
0.98268	0.27	0
0.98268	0.29	0
0.98268	0.31	0
0.98268	0.33	0
0.98268	0.35	0
0.98268	0.37	0
0.98268	0.39	0
0.98268	0.41	0
0.98268	0.43	0
0.98268	0.45	0
0.98268	0.47	0
0.98268	0.49	0
0.98268	0.51	0
0.98268	0.53	0
0.98268	0.55	0
0.98268	0.57	0
0.98268	0.59	0
0.98268	0.61	0
0.98268	0.63	0
0.98268	0.65	0
0.98268	0.67	0
0.98268	0.69	0
0.98268	0.71	0
0.98268	0.73	0
0.98268	0.75	0
0.98268	0.77	0
0.982681	0.789999	0
0.982682	0.809998	0
0.982686	0.829996	0
0.982692	0.849991	0
0.982702	0.869979	0
0.982719	0.88996	0
0.982729	0.909967	0
0.982679	0.930095	0
0.9826	0.950504	0
0.984002	0.969953	0
0.949651	0.98283	0
0.929893	0.982768	0
0.910012	0.982702	0
0.889989	0.982715	0
0.869992	0.98269	0
0.849999	0.982681	0
0.83	0.98268	0
0.81	0.98268	0
0.79	0.98268	0
0.77	0.98268	0
0.75	0.98268	0
0.73	0.98268	0
0.71	0.98268	0
0.69	0.98268	0
0.67	0.98268	0
0.65	0.98268	0
0.63	0.98268	0
0.61	0.98268	0
0.59	0.98268	0
0.57	0.98268	0
0.55	0.98268	0
0.53	0.98268	0
0.51	0.98268	0
0.49	0.98268	0
0.47	0.98268	0
0.45	0.98268	0
0.43	0.98268	0
0.41	0.98268	0
0.39	0.98268	0
0.37	0.98268	0
0.35	0.98268	0
0.33	0.98268	0
0.31	0.98268	0
0.29	0.98268	0
0.27	0.98268	0
0.25	0.98268	0
0.23	0.98268	0
0.21	0.98268	0
0.19	0.98268	0
0.169999	0.982679	0
0.149998	0.982678	0
0.129997	0.982673	0
0.110006	0.982675	0
0.0900579	0.982719	0
0.0702081	0.982866	0
0.0504185	0.982992	0
0.0303052	0.982432	0
0.0175444	0.950076	0
0.0174083	0.929856	0
0.0173942	0.909934	0
0.0173675	0.889981	0
0.0173348	0.869998	0
0.0173242	0.85	0
0.0173216	0.83	0
0.0173208	0.81	0
0.0173203	0.79	0
0.0173201	0.77	0
0.01732	0.75	0
0.01732	0.73	0
0.01732	0.71	0
0.01732	0.69	0
0.01732	0.67	0
0.01732	0.65	0
0.01732	0.63	0
0.01732	0.61	0
0.01732	0.59	0
0.01732	0.57	0
0.01732	0.55	0
0.01732	0.53	0
0.01732	0.51	0
0.01732	0.49	0
0.01732	0.47	0
0.01732	0.45	0
0.01732	0.43	0
0.01732	0.41	0
0.01732	0.39	0
0.01732	0.37	0
0.01732	0.35	0
0.01732	0.33	0
0.01732	0.31	0
0.01732	0.29	0
0.01732	0.27	0
0.01732	0.25	0
0.01732	0.23	0
0.01732	0.21	0
0.0173202	0.19	0
0.0173212	0.169999	0
0.0173235	0.149999	0
0.0173235	0.130005	0
0.0173033	0.11004	0
0.0172306	0.0901196	0
0.0171632	0.0701101	0
0.0173066	0.0497126	0
0.0160262	0.0301941	0
0.235	0.0259799	0
0.315	0.02598	0
0.135005	0.0259751	0
0.255	0.0259799	0
0.165001	0.0259786	0
0.185	0.0259798	0
0.275	0.02598	0
0.205	0.0259799	0
0.973986	0.0951541	0
0.225	0.0259799	0
0.155002	0.0259768	0
0.245	0.0259799	0
0.195	0.0259799	0
0.265	0.02598	0
0.025953	0.0316422	0
0.9729	0.0444613	0
0.305	0.02598	0
0.295	0.02598	0
0.345	0.02598	0
0.365	0.02598	0
0.385	0.02598	0
0.405	0.02598	0
0.425	0.02598	0
0.445	0.02598	0
0.465	0.02598	0
0.485	0.02598	0
0.505	0.02598	0
0.525	0.02598	0
0.545	0.02598	0
0.565	0.02598	0
0.585	0.02598	0
0.605	0.02598	0
0.625	0.02598	0
0.645	0.02598	0
0.665	0.02598	0
0.685	0.02598	0
0.705	0.02598	0
0.725	0.02598	0
0.745	0.02598	0
0.765	0.02598	0
0.785	0.02598	0
0.805	0.02598	0
0.824998	0.0259788	0
0.844993	0.0259721	0
0.864984	0.025954	0
0.884969	0.0259232	0
0.904904	0.0258473	0
0.924693	0.0255746	0
0.944309	0.0250935	0
0.904995	0.974105	0
0.974052	0.0852879	0
0.953928	0.974178	0
0.974134	0.0656199	0
0.974138	0.0754886	0
0.963891	0.0257422	0
0.973984	0.115034	0
0.974014	0.135007	0
0.97402	0.155003	0
0.974019	0.175001	0
0.974019	0.195	0
0.974019	0.215	0
0.97402	0.235	0
0.97402	0.255	0
0.97402	0.275	0
0.97402	0.295	0
0.97402	0.315	0
0.97402	0.335	0
0.97402	0.355	0
0.97402	0.375	0
0.97402	0.395	0
0.97402	0.415	0
0.97402	0.435	0
0.97402	0.455	0
0.97402	0.475	0
0.97402	0.495	0
0.97402	0.515	0
0.97402	0.535	0
0.97402	0.555	0
0.97402	0.575	0
0.97402	0.595	0
0.97402	0.615	0
0.97402	0.635	0
0.97402	0.655	0
0.97402	0.675	0
0.97402	0.695	0
0.97402	0.715	0
0.97402	0.735	0
0.97402	0.755	0
0.97402	0.775	0
0.974021	0.794999	0
0.974024	0.814997	0
0.974031	0.834992	0
0.974041	0.854982	0
0.974058	0.874958	0
0.97409	0.894919	0
0.974106	0.914923	0
0.974013	0.935147	0
0.215	0.0259799	0
0.125006	0.0259794	0
0.0560121	0.0253906	0
0.0238739	0.964885	0
0.974109	0.968659	0
0.0261104	0.934644	0
0.915055	0.974033	0
0.934822	0.974196	0
0.925059	0.973961	0
0.973908	0.956191	0
0.884969	0.974072	0
0.864992	0.974027	0
0.844999	0.97402	0
0.825	0.97402	0
0.805	0.97402	0
0.785	0.97402	0
0.765	0.97402	0
0.745	0.97402	0
0.725	0.97402	0
0.705	0.97402	0
0.685	0.97402	0
0.665	0.97402	0
0.645	0.97402	0
0.625	0.97402	0
0.605	0.97402	0
0.585	0.97402	0
0.565	0.97402	0
0.545	0.97402	0
0.525	0.97402	0
0.505	0.97402	0
0.485	0.97402	0
0.465	0.97402	0
0.445	0.97402	0
0.425	0.97402	0
0.405	0.97402	0
0.385	0.97402	0
0.365	0.97402	0
0.345	0.97402	0
0.325	0.97402	0
0.305	0.97402	0
0.285	0.97402	0
0.265	0.97402	0
0.245	0.97402	0
0.225	0.97402	0
0.205	0.97402	0
0.185	0.97402	0
0.164999	0.974019	0
0.144996	0.974015	0
0.124992	0.974006	0
0.105005	0.974009	0
0.0850956	0.974096	0
0.0653759	0.974369	0
0.0458306	0.974549	0
0.944283	0.974841	0
0.0260432	0.884981	0
0.0261241	0.914845	0
0.0261286	0.924741	0
